typelevel,cats-testkit-scalatest,15
mvv,sager,15
nickburkard,aws-cdk-scala,15
etspaceman,kinesis4cats,15
j5ik2o,docker-controller-scala,15
scala-stm,scala-stm,15
zio,zio-mock,15
camunda-community-hub,camunda-dmn-tester,15
scalatest,scalatestplus-mockito,15
pityka,lamp,15
zio,caliban-deriving,15
jphmrst,bps,15
zio,zio-test-intellij,15
sciss,treetable,15
dapperware,zio-slack,14
poslegm,munit-zio,14
emartech,scala-logger,14
japgolly,webapp-util,14
sciss,fileutil,14
blackdoor,jose,14
durban,choam,14
sageserpent-open,americium,14
scalapb,scalapb-validate,14
pme123,camundala,13
xuwei-k,zeroapply,13
polyvariant,colorize-scala,13
phaller,spores3,13
changvvb,scala-protobuf-java,13
jd557,minart,13
playframework,play-file-watch,13
swagger-akka-http,swagger-scala-module,13
gemini-hlsw,clue,13
sciss,fscape-next,13
scalapb,protobuf-scala-runtime,13
armanbilge,porcupine,13
profunktor,neutron,13
ij-plugins,ijp-color,13
reactivemongo,reactivemongo-streaming,13
herminiogg,shexml,13
scala-workers,commons-lang3-bridge,12
akiomik,cats-nio-file,12
xuwei-k,iarray,12
greenfossil,thorium,12
rocketfuel,sdbc,12
analogweb,analogweb-scala,12
davenverse,cats-effect-time,12
cornerman,chameleon,12
sciss,kollflitz,12
darrenjw,scala-smfsb,12
permutive-engineering,prometheus4cats,12
kevin-lee,extras,12
shiftleftsecurity,js2cpg,12
http4s,http4s-finagle,12
kevin-lee,maven2sbt,12
scala-native,scala-native-cli,12
ij-plugins,ijp-toolkit,12
oranda,libanius,11
irevive,union-derivation,11
themillhousegroup,scoup,11
abdolence,circe-tagged-adt-codec,11
lloydmeta,ltsv-logger,11
dvgica,managerial,11
bilal-fazlani,zio-ulid,11
geirolz,erules,11
delimobil,cabbit,11
polystat,odin,11
davenverse,whale-tail,11
postgresql-async,postgresql-async,11
scf37,config3,11
data-tools,big-data-types,11
jodersky,scala-argparse,11
scalaprops,scalaprops-shapeless,10
guardian,fastly-api-client,10
eikek,calev,10
softwaremill,tapir-loom,10
sangria-graphql,sangria-monix,10
2m,ciris-hocon,10
chrisokasaki,hwtest,10
frugalmechanic,scala-optparse,10
olivierblanvillain,regsafe,10
janstenpickle,hotswap-ref,10
scalapy,python-native-libs,10
davenverse,keysemaphore,10
geirolz,scope,10
weso,wdsub,10
tofu-tf,glass,10
afsalthaj,constraintless,9
medeia,medeia,9
chatwork,scala-jwk,9
gekomad,itto-csv,9
47degrees,munit-akka,9
andyglow,typesafe-config-scala,9
scala-js,scala-js-stubs,9
nafg,css-dsl,9
torrentdam,bittorrent,9
atry,html.scala,9
armanbilge,circe-scala-yaml,9
hnaderi,scala-k8s,9
carlos-verdes,zio-arangodb,9
sciss,wolkenpumpe,9
kcrypt,scala-sha,9
andyglow,scala-xml-diff,9
ruippeixotog,akka-testkit-specs2,8
alhuelamo,dbjobs,8
asflierl,sglicko2,8
tulz-app,tuplez,8
gemini-hlsw,crystal,8
typelevel,discipline-specs2,8
mateuszkubuszok,pipez,8
dataoperandz,cassper,8
xuwei-k,applybuilder,8
cquiroz,sbt-locales,8
lorandszakacs,sprout,8
nrinaudo,kantan.parsers,8
logging4s,logging4s,8
dieproht,matr,8
zeal18,zio-mongodb,8
kovstas,fs2-throttler,8
metarank,ltrlib,8
davenverse,epimetheus-http4s,8
msgpack4z,msgpack4z-play,8
katrix,typenbt,8
gemini-hlsw,lucuma-core,8
sciss,topology,8
geirolz,cats-xml,8
kevin-lee,just-semver,8
coursier,dependency,8
stuartapp,zcaffeine,8
foundweekends,knockoff,8
polyvariant,scala-git-markers,7
sbt,sbinary,7
emartech,jwt-akka-http,7
anatoliykmetyuk,simple-rockets-compiler,7
weso,shacl-s,7
tinkoff,oolong,7
marchliu,jaskell-dotty,7
zio,interop-monix,7
scalabin-no,http4s-directives,7
nafg,simpleivr,7
softwaremill,sttp-shared,7
typelevel,idna4s,7
ovotech,ciris-aws-secretsmanager,7
gekomad,scala-compress,7
tofu-tf,cherry,7
y-yu,excel-reads,7
http4s,http4s-crypto,7
j-mie6,parsley-cats,7
bpholt,java-time-literals,7
gaeljw,typetrees,7
greenleafoss,green-leaf-mongo,7
rediscala,rediscala,7
hnaderi,lepus,7
davenverse,lock,7
sagifogel,proptics,7
kevin-lee,effectie,7
sciss,scissdsp,7
timbertson,foperator,7
ahjohannessen,sec,7
finos,morphir-scala,7
sciss,processor,7
carlosedp,riscvassembler,7
47degrees,sbt-energymonitor,7
ppurang,asynch,7
zygfryd,scala-zygf-cement,7
kcrypt,scala-biginteger,7
mpollmeier,scala-repl-pp,6
imrafaelmerino,json-scala-values,6
tkrs,orcus,6
vigoo,zio-aws,6
zio,interop-guava,6
davenverse,circuit-http4s,6
http4s,http4s-fs2-data,6
kubukoz,debug-utils,6
i10416,munkres,6
msgpack4z,msgpack4z-circe,6
atedeg,mdm,6
jozic,scalax-collection,6
dacr,primes,6
ij-plugins,ijp-javacv,6
paoloboni,spray-json-derived-codecs,6
senia-psm,zio-test-akka-http,6
arturopala,validator,6
reactivemongo,reactivemongo-bson,6
zio,zio-morphir,6
sciss,desktop,6
cognitedata,cognite-sdk-scala,6
ovotech,meters4s,6
kevin-lee,logger-f,6
gemini-hlsw,lucuma-sso,6
scalatest,scalatestplus-junit,6
sullis,jms-testkit,6
bplommer,launch-catsly,6
scalacenter,tasty-mima,6
jodersky,yamlesque,6
pdal,java,6
simy4,xpath-to-xml,6
palanga,zio-cassandra,5
scalapb-json,scalapb-json-common,5
makingthematrix,signals3,5
davenverse,http4s-grpc,5
geirolz,app-toolkit,5
davenverse,snickerdoodle,5
billzabob,fordeckmacia,5
trace4cats,trace4cats-sttp,5
hseeberger,slf4s,5
sangria-graphql,sangria-msgpack,5
j5ik2o,base64scala,5
bot4s,zmatrix,5
gekomad,scala-regex-collection,5
ollls,quartz-h2,5
losizm,grapple,5
jsfwa,zio-cassandra,5
i10416,cssminifier,5
tkrs,fluflu,5
http4s,http4s-scalatags,5
earogov,ordset,5
reactivemongo,reactivemongo-play-json,5
davenverse,process,5
pureharm,pureharm-aws,5
tharwaninitin,gcp4zio,5
fthomas,status-page,5
losizm,scamper,5
http4s,http4s-servlet,5
sciss,numbers,5
spaceteams,scala-json-logging,5
davenverse,single-fibered,5
polystat,polystat-cli,5
dvreeze,xpathparser,5
petitviolet,scala-operator,5
ohze,php-utils,5
weso,shex-s,5
cheleb,zio-pravega,5
armanbilge,gcp4s,5
ij-plugins,ijp-debayer2sx,5
pityka,aten-scala,5
itv,quartz4s,4
davenverse,crossplatformioapp,4
rtyley,line-break-preserving-line-splitting,4
naoh87,lettucef,4
msgpack4z,msgpack4z-argonaut,4
mobimeo,fs2-gtfs,4
y-yu,slick-bulk-insert,4
note,dhallj-magnolia,4
codedx,mapk,4
dobrynya,zio-jms,4
trace4cats,trace4cats-opentelemetry,4
thatscalaguy,circe-jq,4
gchudnov,swearwolf,4
juliano,pokeapi-scala,4
pjfanning,micrometer-akka,4
armanbilge,van-cats,4
dacr,zio-worksheet,4
nthportal,spaghetti,4
rustedbones,taxonomy,4
hamnis,dataclass-scalafix,4
ppurang,abctemplates,4
scodec,scodec-cats,4
indoorvivants,mdoc-effect,4
kubukoz,drops,4
msgpack4z,msgpack4z-native,4
ashwinbhaskar,sight-scala,4
http4s,http4s-scala-xml,4
koterpillar,refinery,4
sfxcode,pebble-scala,4
aptusproject,aptus-core,4
http4s,http4s-prometheus-metrics,4
http4s,http4s-twirl,4
indoorvivants,sn-vcpkg,4
outr,spice,4
davenverse,natchez-http4s-otel,4
sfxcode,sapphire-data,4
outr,scalapass,4
sciss,lucre,4
sciss,scalacolliderugens,4
aaronp,args4c,4
dvreeze,tqa,4
sciss,raphaelicons,4
davenverse,clippette,4
scalapb,common-protos,4
scalatest,scalatestplus-selenium,4
valdemargr,gql,4
indoorvivants,weaver-playwright,4
jobial-io,scase,4
scala-cli,scala-cli-signing,4
fdietze,formidable,4
staeff777,scalaveusz,3
lhns,munit-tagless-final,3
sangria-graphql,sangria-marshalling-api,3
andreamarcolin,oidc4s,3
xuwei-k,jwt-scala,3
pjfanning,jackson-module-scala3-enum,3
hamnis,jsonschema,3
sangria-graphql,sangria-ion,3
tharwaninitin,cron4zio,3
sangria-graphql,sangria-spray-json,3
j5ik2o,intervals-scala,3
trace4cats,trace4cats-zio,3
gemini-hlsw,refined-algebra,3
ariskk,burner4s,3
pjfanning,jackson-module-enumeratum,3
ichoran,kse3,3
johnspade,csv3s,3
cornerman,scala-cuid,3
scala-tessella,ring-seq,3
pjfanning,jackson-scala3-reflection-extensions,3
tarao,collection-scala,3
nafg,scala-phonenumber,3
sh4869,semver-parser-scala,3
sky-uk,kafka-topic-loader,3
lhns,remote-io,3
trace4cats,trace4cats-datadog,3
liquibase4s,liquibase4s,3
greenfossil,commons-json,3
vlmiroshnikov,authz,3
keirlawson,fs2-progress,3
scalapb-json,scalapb-argonaut,3
fgrutsch,emergence,3
aaronp,eie,3
eikek,binny,3
armanbilge,scala-native-config-brew,3
scalax,simple,3
sciss,patterns,3
sciss,swingplus,3
fehu,opentracing-scala,3
carlos-verdes,funkode,3
outr,robobrowser,3
liewhite,swopen,3
andyglow,scala-range,3
http4s,http4s-fabric,3
typelevel,scalacheck-xml,3
carlosedp,scalautils,3
kevin-lee,just-fp,3
pjfanning,zio-metrics-micrometer,3
mixql,mixql-core,3
scala-cli,libdaemon-jvm,3
polyvariant,treesitter4s,3
otavia-projects,mill-rust-jni,3
simy4,coregex,3
trace4cats,trace4cats-tail-sampling-extras,2
lorandszakacs,enclosure,2
gchudnov,bscript,2
jandom-devel,scalafix,2
indoorvivants,subatomic,2
xuwei-k,unused-proto,2
banno,cosmos4s,2
hamnis,jwk,2
h8io,borscht,2
trace4cats,trace4cats-avro,2
2m,yabai-scala,2
trace4cats,trace4cats-jaeger,2
sangria-graphql,sangria-streaming-api,2
http4s,hpack,2
ollls,zio-quartz-h2,2
msgpack4z,msgpack4z-jawn,2
greenfossil,commons-i18n,2
nrinaudo,kantan.repl,2
atry,futurebinding.scala,2
trace4cats,trace4cats-natchez,2
indoorvivants,rendition,2
